rosette_id,feature,spearman_rho
1,mz 410.132,0.2380952380952381
1,mz 515.456,0.523809523809524
1,mz 531.243,0.6904761904761906
1,mz 597.268,-0.09523809523809526
1,mz 795.622,0.7142857142857144
1,mz 867.714,0.30952380952380953
1,mz 885.724,-0.3571428571428572
1,mz 887.946,-0.30952380952380953
1,mz 888.74,-0.3571428571428572
1,mz 890.733,-0.4761904761904762
1,mz 911.724,-0.19047619047619052
1,mz 912.712,-0.3333333333333334
1,mz 914.741,-0.5476190476190477
1,mz 917.739,-0.3571428571428572
1,mz 956.74,0.023809523809523815
1,mz 972.792,-0.880952380952381
